City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (Celsius),Wind Speed
Esperance,90,AU,1570232169,100,-33.86,121.89,14,8.7
Rikitea,86,PF,1570231794,79,-23.12,-134.97,21.24,9.7
Dovolnoye,72,RU,1570232257,91,54.5,79.67,8.31,2.84
Muros,0,ES,1570232258,100,42.77,-9.06,14.44,0.85
Ribeira Grande,100,PT,1570232042,77,38.52,-28.7,20.67,5.17
Upernavik,99,GL,1570232045,71,72.79,-56.15,3.64,2.58
Bluff,0,AU,1570231795,39,-23.58,149.07,24.32,1.48
Mbandaka,53,CD,1570232260,97,0.05,18.26,20.52,0.87
Nanortalik,100,GL,1570232169,53,60.14,-45.24,8.12,4.85
Castro,20,CL,1570231821,87,-42.48,-73.76,8,1
Chokurdakh,100,RU,1570232145,96,70.62,147.9,-1.72,6.89
Kasangulu,40,CD,1570232261,94,-4.59,15.17,23,0.7
Zhezkazgan,0,KZ,1570232262,37,47.8,67.71,7.6,4.07
Cherskiy,100,RU,1570232039,89,68.75,161.3,-3.89,4.97
Lavrentiya,85,RU,1570232054,78,65.58,-170.99,-2.07,7.59
Ushuaia,40,AR,1570231930,87,-54.81,-68.31,3,12.9
Pangody,70,RU,1570232263,87,65.85,74.49,-0.22,7.05
Kapaa,75,US,1570232004,69,22.08,-159.32,29,8.2
Khatanga,100,RU,1570231807,83,71.98,102.47,-5.25,7.09
Albany,40,US,1570232043,53,42.65,-73.75,11,3.6
Nalut,0,LY,1570232263,49,31.86,10.98,17.97,1.82
Kaitangata,45,NZ,1570231898,65,-46.28,169.85,7.22,8.94
Busselton,50,AU,1570232044,98,-33.64,115.35,13.89,8.92
Amargosa,26,BR,1570232264,93,-13.03,-39.6,18.86,3.53
Cockburn Town,75,TC,1570232007,94,21.46,-71.14,24,1.5
Jamestown,97,AU,1570232035,11,-33.21,138.6,32.93,10.25
Kautokeino,62,NO,1570232265,77,69.01,23.04,-2.46,1.63
Kurilsk,100,RU,1570232265,98,45.23,147.88,15.42,7.12
Hofn,100,IS,1570232134,99,64.25,-15.21,0.64,9.56
Sinnamary,0,GF,1570232094,81,5.38,-52.96,27.62,5.97
Oyek,0,RU,1570232266,92,52.59,104.46,-3,2
Tasiilaq,100,GL,1570232031,65,65.61,-37.64,8,22.6
Saint-Philippe,20,CA,1570232085,56,45.36,-73.48,8,4.1
Punta Arenas,20,CL,1570231780,48,-53.16,-70.91,5,8.7
Maniitsoq,73,GL,1570232068,62,65.42,-52.9,5.54,4.15
Hobart,20,AU,1570232034,53,-42.88,147.33,12.22,4.1
Palafrugell,40,ES,1570232136,88,41.92,3.16,18.89,1.5
Lebu,75,ET,1570232048,87,8.96,38.73,15,1.5
Cape Town,0,ZA,1570231813,93,-33.93,18.42,13.89,2.1
Mataura,44,NZ,1570232042,63,-46.19,168.86,10,5.81
Cayenne,0,GF,1570232270,83,4.94,-52.33,27,1
Oistins,20,BB,1570232270,88,13.07,-59.53,26,2.6
Saskylakh,0,RU,1570231795,87,71.97,114.09,-10.41,2.57
Butaritari,100,KI,1570232032,77,3.07,172.79,27.04,6.16
Vanavara,100,RU,1570232271,95,60.35,102.28,4.14,4.39
Tuktoyaktuk,40,CA,1570232092,93,69.44,-133.03,2,6.7
